,Volcano Plot_p
CNN1,-1.5650744019795726
ABCA8,-1.5692605790948737
RPL3L,-1.5693638042978628
CRAT,-1.5694059076778646
AOC3,-1.5711486821234875
SNCG,-1.5712142757088328
PFKM,-1.571882662732173
MYH11,-1.5723101835981388
KRT15,-1.5745403500044053
BCAS1,-1.5792506684507563
CD34,-1.5808426264508293
PCOLCE2,-1.5825703357147527
COQ10A,-1.58454137142542
TPM2,-1.5875930014570157
AQP5,-1.588842757114242
MFGE8,-1.590953102823745
FRZB,-1.5910500656796147
TPPP3,-1.5925121107498972
ELN,-1.5939500252197314
MYOT,-1.5941652866785183
DAPL1,-1.6033438123832697
NIPSNAP3B,-1.6057851418554285
SORBS1,-1.6072493435027115
CACNB1,-1.6193561306574507
APOA2,-1.6216056085784476
MYH7,-1.627468755885593
TMOD1,-1.630445564165277
MFAP4,-1.6326655010682318
SH3BGRL2,-1.6344707217012076
NDRG2,-1.6423648651561735
TNNT1,-1.6429539731718132
MBP,-1.6437255683013783
CLIC5,-1.6445548375080585
PKIA,-1.6518710376393642
ACP3,-1.6523475499115732
MUC21,-1.65333433306059
MYH13,-1.6543420171783467
TCHH,-1.6576255969065792
MUC5B,-1.6582966350087829
SBSPON,-1.66622748021238
STAC3,-1.670453456603844
GPD1L,-1.6705151806622196
TRDN,-1.6713801583126449
TNNI1,-1.677014222514432
PGM5,-1.6776870901455723
CA3,-1.6901185557949485
AGR2,-1.6918964418337445
EVPL,-1.6943827911804108
CAB39L,-1.6949948813341957
MSMB,-1.697300893098123
ADIRF,-1.7048667876140573
RPTN,-1.7070569395629807
MYOZ3,-1.7114913317433607
SELENBP1,-1.7274484376349268
ACTA1,-1.729091336653271
DPT,-1.7356288906543904
A2ML1,-1.772470750141949
GPT,-1.7782751948603435
MPZ,-1.7817964061028784
MYL6B,-1.7926311193429347
AK1,-1.796016527979099
DCN,-1.8010911279094817
PPL,-1.804520311835002
MGP,-1.8056797683582726
EEF1A2,-1.8171377481033013
ADSS1,-1.832590508226001
MYL3,-1.8331028903156061
TNNC1,-1.833144801668407
SORBS2,-1.8539221070970333
NEFH,-1.856111671418702
AMPD1,-1.8606125293840174
CFL2,-1.8689932491262269
CRYM,-1.8769066843390099
MYL2,-1.8830908276935463
FAM3B,-1.8883734316922693
CPT1B,-1.8898020551297223
IL36A,-1.8921597493217923
ATP1A2,-1.9096895204511484
ASPG,-1.9224390873274235
TCAP,-1.9259020583163926
OLFML1,-1.9284561024965376
COQ8A,-1.9286784323214679
FHL1,-1.9326038781472479
BPIFB1,-1.9517229787582662
SCGB3A1,-1.960915907306799
ACTN2,-1.9633486486322413
SMYD1,-1.9783160066700267
PRSS27,-1.9799296594660654
MAB21L4,-1.979965414561962
LECT2,-1.988062506858686
IL1RN,-1.9895700161601537
ASPA,-1.9926421012217543
MYOM3,-1.9956865351271549
NEB,-2.010999959360205
ATP2A1,-2.0118894218706327
FAM240C,-2.0166911037078195
ADH1C,-2.026116959355937
TMOD4,-2.0278516564524223
SMTNL1,-2.0327723782215763
S100A1,-2.040173997874471
LDB3,-2.043322343238797
FAM3D,-2.0598588730981864
SOD3,-2.063152187239837
PRX,-2.071450358926918
BPIFB2,-2.0730118455427977
LYVE1,-2.08512415428628
COX7A1,-2.086950709758949
S100B,-2.0874573290430876
PTN,-2.088840112416076
PRELP,-2.105856846977616
FBP2,-2.11850107285201
ALDH1L1,-2.119668159747346
CAVIN2,-2.1333404644246827
CKMT2,-2.1464260301649016
MYOM1,-2.1478140289747016
ENDOU,-2.1591151498190704
HMGCS2,-2.16406964960987
MYH2,-2.167525104851116
APOBEC2,-2.1693858745460957
TSPAN8,-2.172462898117025
SCEL,-2.1778741473505447
SRL,-2.1924884466332926
CASQ1,-2.1947479295008874
GBP6,-2.198852546781655
SLURP1,-2.2051578125089226
ACAN,-2.206012196930043
TNNT3,-2.209244062465892
NEFM,-2.2132848233336797
HSPB6,-2.2165188366417983
ABI3BP,-2.219182215139719
MYBPC2,-2.2336812240920176
VIT,-2.2374473407581985
PADI1,-2.2394141953849167
HOPX,-2.249686081695832
MYBPC1,-2.2621944834013403
MYOM2,-2.2762823847894693
NEFL,-2.28139651242956
PIP,-2.291067125777782
SCIN,-2.293365188590129
PRPH,-2.3091125621563515
SLC25A4,-2.31337111199199
LPO,-2.333872134741329
MYL11,-2.336892420928619
SPINK7,-2.339365843476378
ENO3,-2.3408433866878156
MYOZ1,-2.3415812338094257
TMPRSS11B,-2.3456775133255308
PGAM2,-2.376106252091084
TNNI2,-2.425721379954988
MYL1,-2.452522429337295
OGN,-2.4526643170370295
COL2A1,-2.459373389804218
TNNC2,-2.461642726675633
HAPLN1,-2.4739651012815385
COL28A1,-2.4758910815734594
TNXB,-2.4804385945280036
PLIN4,-2.4814456606138036
ZG16B,-2.484769480679941
GPD1,-2.4873866545649954
PYGM,-2.5081304312655304
C6orf58,-2.5096328317885708
ADH1B,-2.5719458143119107
ADH4,-2.6253542805593266
CHAD,-2.627045560642497
MYH1,-2.6653877693997394
SPRR3,-2.746082030037982
PLIN1,-2.761737269588895
PMP2,-2.7698970627699864
KRT78,-2.799867482052426
KRT13,-2.834934786045285
CLCA4,-2.8402820393908907
SPINK5,-2.8473040337920823
PRB3,-2.870212087877225
MYOC,-2.954406327119569
KRT76,-3.1204091777316254
KRT4,-3.2068544335542977
CRNN,-3.4652678727397626
